,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Jembatan Merah Surabaya,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,0.0,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Kya-Kya Kembang Jepun,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,0.0,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
House of Sampoerna,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,0.0,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Stasiun Surabaya Kota (Semut),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,0.0,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Kawasan Ampel Suci,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.15,2.15,2.25,2.25,2.0,2.15,2.15,2.0,2.0,2.25,2.25,2.15,2.25,2.25,2.0,2.25,2.25,1.75,1.75,2.0,2.25,1.75,2.0,2.0,2.25,1.75,2.15,2.15,2.15,2.15,0.0,2.25,2.15,2.25,1.75,2.15,2.375,1.75,2.25,2.25,2.0
Taman Jayengrono,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,0.0,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Rajawali,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,0.0,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Gedung Cerutu,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,0.0,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Kembang Jepun Timur,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,1.5,1.5,1.5,2.0,1.5,1.75,1.75,2.0,1.5,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,0.0,1.9,2.125,1.5,2.0,2.0,1.5
Kawasan Kapasan,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,0.0,2.525,1.9,2.4,2.4,2.3
Taman Bungkul,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.625,2.525,2.525,2.625,2.625,2.75,2.525,2.525,2.75,2.75,2.625,2.625,2.525,2.625,2.625,2.75,2.625,2.625,2.125,2.125,2.75,2.625,2.125,2.375,2.375,2.625,2.125,2.525,2.525,2.525,2.525,2.375,2.625,2.525,2.625,2.125,2.525,0.0,2.125,2.625,2.625,2.75
Jalan Raya Darmo (CFD),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,1.5,1.5,1.5,2.0,1.5,1.75,1.75,2.0,1.5,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,1.5,1.9,2.125,0.0,2.0,2.0,1.5
Kebun Binatang Surabaya,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,0.0,2.5,2.5
Patung Suro dan Boyo,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,0.0,2.5
Kawasan Kampus Ketintang Unesa,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,4.0,2.3,2.3,4.0,4.0,2.5,2.5,2.3,2.5,2.5,4.0,2.5,2.5,1.5,1.5,1.5,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,0.0
