3.34	6.40	6.52	5.44	3.61	4.39	2.73	3.00	5.11	5.92	5.74	5.29	6.21	5.91	4.48	11.60	13.91	13.23	13.14	11.61	13.52	11.61	10.02	9.30	9.11	1.91	0.00	0.88	1.63	2.46	2.87	4.25	4.83	1.73	4.18	8.86	9.04	8.88	6.59	8.54	8.92	7.83	8.77	6.51	7.04	6.36	5.66	7.42	7.48	11.78	5.02
3.70	6.75	6.88	5.80	3.96	4.75	3.08	3.36	5.46	6.28	6.09	5.65	6.57	6.27	4.83	11.95	14.27	13.59	13.49	11.97	13.88	11.96	10.37	9.66	9.46	2.27	1.08	0.00	3.06	2.82	2.66	5.67	6.26	2.09	4.57	9.21	9.39	9.23	6.95	8.89	9.28	8.19	9.13	6.86	7.40	6.71	6.02	7.78	7.84	12.14	5.38
3.73	6.78	6.91	5.83	3.99	4.78	3.11	3.38	5.49	6.31	6.12	5.52	6.59	6.30	4.86	10.31	12.63	11.94	11.85	10.33	12.24	10.32	8.73	8.02	7.82	2.30	3.27	2.71	0.00	2.85	1.86	3.67	4.26	1.52	3.60	9.24	9.42	9.26	6.98	8.92	9.30	8.22	9.16	6.89	7.43	5.07	4.38	6.14	6.20	10.50	5.40
2.52	4.35	4.48	3.40	2.79	3.57	1.91	2.18	3.06	5.11	4.92	4.69	4.17	5.10	2.43	9.48	11.79	11.11	11.02	9.50	11.40	9.49	7.90	7.18	6.99	1.69	2.61	4.12	4.13	0.00	5.50	5.05	5.58	2.44	5.73	6.81	6.99	6.83	4.55	6.49	6.88	5.79	6.73	4.46	5.00	4.24	3.54	5.30	5.36	9.66	4.20
4.92	7.98	8.10	7.03	5.19	5.97	4.31	4.58	6.69	7.51	7.32	7.23	7.79	7.50	6.06	12.02	14.33	13.65	13.56	12.04	13.94	12.03	10.44	9.72	9.53	3.50	2.88	2.02	2.29	4.04	0.00	5.38	5.97	3.31	2.95	10.44	10.62	10.46	8.17	10.12	10.50	9.41	10.35	8.09	8.63	6.78	6.08	7.84	7.90	12.20	6.60
6.22	8.03	8.16	6.74	6.49	6.00	5.61	5.88	7.99	7.53	7.34	5.85	9.09	8.57	7.36	9.58	11.89	11.21	11.12	9.60	11.50	10.66	8.00	7.28	7.09	4.43	5.40	5.40	3.21	4.98	4.55	0.00	0.86	3.65	3.01	11.74	11.92	11.76	9.48	11.42	11.80	10.72	11.66	9.39	9.93	3.42	3.97	3.86	3.92	7.14	6.62
6.09	7.90	8.02	6.61	6.36	5.87	5.48	5.75	7.86	7.40	7.21	5.72	8.96	8.44	7.23	9.45	11.76	11.08	10.99	9.47	11.37	10.52	7.87	7.15	6.96	4.42	5.38	5.38	3.20	4.96	4.54	0.36	0.00	3.64	2.99	11.61	11.79	11.63	9.35	11.29	11.67	10.59	11.52	9.26	9.80	3.29	3.84	3.72	3.78	7.17	6.49
2.96	6.02	6.14	5.07	3.23	4.01	2.35	2.62	4.73	5.55	5.36	5.43	5.83	5.54	4.10	10.22	12.54	11.85	11.76	10.24	12.15	10.23	8.64	7.93	7.73	1.54	1.23	1.71	0.97	2.08	3.25	3.58	4.17	0.00	3.51	8.48	8.66	8.50	6.22	8.16	8.54	7.46	8.39	6.13	6.67	4.98	4.29	6.05	6.11	10.41	4.64
6.24	9.30	9.42	8.34	6.50	6.94	5.63	5.90	8.01	8.47	8.28	6.79	9.11	8.64	7.38	11.58	13.90	13.22	13.12	11.60	13.51	11.59	10.00	9.29	9.09	4.57	4.68	3.82	3.35	5.12	2.98	3.18	3.76	3.79	0.00	11.75	11.94	11.77	9.49	11.44	11.82	10.73	11.67	9.41	9.94	6.34	5.65	6.18	6.24	10.04	7.56
4.72	3.61	3.74	4.51	4.98	4.46	5.83	6.10	4.58	5.14	4.68	6.67	2.53	4.48	4.39	13.01	15.33	14.65	14.55	13.03	14.94	10.64	11.53	11.66	11.46	6.69	7.25	8.77	8.05	6.66	9.24	10.20	10.74	7.08	10.89	0.00	1.37	1.25	1.62	3.70	0.55	3.24	0.66	2.15	2.44	8.73	8.70	9.54	9.60	13.62	4.24
5.26	4.15	4.27	5.54	5.52	4.99	4.64	4.91	3.85	5.68	5.25	7.21	3.10	5.05	3.20	13.58	15.89	15.21	15.12	13.60	15.51	11.21	12.10	11.15	10.96	5.50	6.40	7.92	7.20	5.47	8.40	9.02	9.55	6.23	9.71	1.68	0.00	3.53	0.44	1.97	2.22	4.73	5.77	0.96	1.25	8.21	7.51	9.27	9.34	13.63	4.78
4.76	3.66	3.78	4.55	5.02	4.50	5.87	6.14	4.62	5.19	4.72	6.71	2.58	4.53	4.43	13.05	15.37	14.69	14.59	13.07	14.98	10.69	11.57	11.70	11.51	6.73	7.29	8.81	8.09	6.70	9.29	10.25	10.78	7.12	10.93	1.23	1.41	0.00	1.66	3.75	0.92	1.38	0.81	2.19	2.48	8.77	8.74	9.58	9.65	13.66	4.28
